card_status	pan_in_cms	amount_vs_daily	amount_vs_monthly	amount_vs_balance	expiry	terminal_type	mcc
1	ACTIVE	found	below	below	below	next_month	pos	grocery
2	ACTIVE	found	equal	equal	equal	current_month	atm	restaurant
3	ACTIVE	found	above	above	below	previous_month	ecom	electronics
4	ACTIVE	not_found	below	below	below	current_month	atm	electronics
5	INACTIVE	found	below	below	below	previous_month	ecom	restaurant
6	ACTIVE	found	equal	equal	above	next_month	pos	electronics
7	ACTIVE	found	above	above	above	current_month	atm	grocery
8	ACTIVE	found	above	above	equal	next_month	pos	restaurant
9	ACTIVE	found	equal	equal	below	previous_month	ecom	grocery
10	BLOCKED	found	below	below	below	next_month	atm	grocery
11	EXPIRED	found	below	below	below	next_month	ecom	grocery
12	ACTIVE	found	below	below	equal	current_month	ecom	grocery
13	ACTIVE	found	below	below	above	next_month	ecom	restaurant
14	ACTIVE	not_found	below	below	below	previous_month	pos	grocery
15	INACTIVE	found	below	below	below	current_month	pos	grocery
16	EXPIRED	found	below	below	below	previous_month	atm	restaurant
17	ACTIVE	not_found	below	below	below	next_month	ecom	restaurant
18	INACTIVE	found	below	below	below	next_month	atm	electronics
19	BLOCKED	found	below	below	below	current_month	pos	restaurant
20	BLOCKED	found	below	below	below	previous_month	ecom	electronics
21	EXPIRED	found	below	below	below	current_month	pos	electronics
22	ACTIVE	found	below	equal	equal	next_month	pos	electronics
23	ACTIVE	found	below	above	below	next_month	pos	grocery
24	ACTIVE	found	equal	below	below	next_month	pos	grocery
25	ACTIVE	found	equal	above	below	next_month	pos	grocery
26	ACTIVE	found	above	below	below	next_month	pos	grocery
27	ACTIVE	found	above	equal	below	next_month	pos	grocery
